Neighbourhood_ID,Neighbourhood,PopulationCount,PopulationDensity_Per_SqKM,PopulationCount_0_14,PopulationCount_15_24,PopulationCount_25_54,PopulationCount_55_64,PopulationCount_65+,Percentage of residents do not speak English or French,Percentage of residents whose mother tongue is not English or French,Percentage of residents who do not speak offical languages at home,Percentage of residents with totoal income of $150K and over,Percentage of Household Income of Over $200K,Percentage of Non Canadian Citizen,Percentage of visible minority,Percentage with no certificate/diploma/degree,Percentage with  Bachelor degree or above,UnemploymentRate,Percentage of Movers (mobility status 1 year ago),Percentage of Movers (mobility status 5 year ago),Latitude,Longitude,No. of Robberies in 2014,No. of Robberies in 2015,No. of Robberies in 2016,No. of Robberies in 2017,No. of Robberies in 2018,No. of Robberies (2014-2018)
103,Lawrence Park South,15179,4685,2845,2095,5870,2115,2235,0.01,0.18,0.07,0.24,0.41,0.07,0.17,0.08,0.64,0.08,0.11,0.36,43.71,-79.41,3,6,2,8,8,27
104,Mount Pleasant West,29658,21969,2380,2520,17100,3030,4605,0.02,0.36,0.18,0.05,0.06,0.18,0.34,0.06,0.56,0.07,0.23,0.58,43.71,-79.39,19,24,20,15,35,113
105,Lawrence Park North,14607,6407,3280,1670,5980,1725,1935,0.01,0.20,0.07,0.19,0.37,0.05,0.21,0.08,0.62,0.06,0.09,0.31,43.73,-79.41,0,6,4,6,2,18
106,Humewood-Cedarvale,14365,7682,2165,1610,7005,1650,1940,0.01,0.28,0.13,0.08,0.14,0.12,0.29,0.09,0.50,0.07,0.14,0.41,43.69,-79.43,3,7,4,6,1,21
107,Oakwood Village,21210,9511,3130,2275,9535,2590,3700,0.06,0.43,0.28,0.02,0.05,0.16,0.43,0.25,0.29,0.07,0.11,0.31,43.69,-79.44,25,12,20,20,11,88
108,Briar Hill-Belgravia,14257,7791,1855,1655,6740,1925,2100,0.05,0.56,0.37,0.01,0.03,0.19,0.46,0.21,0.28,0.09,0.11,0.35,43.70,-79.46,33,22,41,35,36,167
109,Caledonia-Fairbank,9955,6464,1490,1220,4570,1350,1325,0.09,0.55,0.38,0.00,0.02,0.18,0.36,0.35,0.14,0.07,0.11,0.33,43.69,-79.46,8,6,8,2,7,31
110,Keelesdale-Eglinton West,11058,6467,1610,1430,4790,1435,1785,0.09,0.57,0.41,0.00,0.02,0.19,0.43,0.39,0.12,0.09,0.11,0.33,43.69,-79.47,26,17,12,18,16,89
111,Rockcliffe-Smythe,22246,4414,3505,2740,9255,3090,3655,0.06,0.48,0.32,0.00,0.02,0.12,0.46,0.30,0.14,0.09,0.09,0.32,43.68,-79.50,32,37,53,44,18,184
112,Beechborough-Greenbrook,6577,3614,1120,855,2750,885,965,0.05,0.41,0.27,0.01,0.02,0.15,0.59,0.31,0.12,0.11,0.10,0.34,43.69,-79.47,25,10,29,14,15,94
113,Weston,17992,7197,3100,2225,7785,2430,2445,0.04,0.37,0.24,0.01,0.02,0.17,0.61,0.25,0.16,0.11,0.13,0.40,43.70,-79.52,33,42,36,36,31,178
114,Lambton Baby Point,7985,4697,1695,905,3310,1050,1025,0.01,0.28,0.13,0.11,0.21,0.07,0.24,0.14,0.47,0.08,0.10,0.32,43.66,-79.50,1,1,5,2,1,10
115,Mount Dennis,13593,6442,2395,1815,5930,1760,1685,0.05,0.42,0.30,0.00,0.01,0.14,0.68,0.26,0.15,0.11,0.09,0.36,43.69,-79.50,31,13,39,36,11,130
116,Steeles,24623,5436,3150,2685,9500,3515,5755,0.23,0.77,0.68,0.01,0.05,0.21,0.91,0.24,0.28,0.10,0.10,0.32,43.81,-79.32,8,10,21,6,8,53
